Date And Time, Log Entry
"[3/6/18 1:52:17:517 UTC]"," 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 4.308 seconds 
 " 
"[3/6/18 1:52:17:787 UTC]"," 00000024 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started. 
 " 
"[3/6/18 1:52:24:037 UTC]"," 00000024 com.ibm.ws.config.xml.internal.ConfigEvaluator               W CWWKG0033W: The value [/home/vcap/app/wlp/usr/shared/config/] specified for the reference attribute [filesetRef] was not found in the configuration. 
 " 
"[3/6/18 1:52:24:151 UTC]"," 0000001d com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting... 
 " 
"[3/6/18 1:52:24:849 UTC]"," 00000027 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv6) port 8080. 
 " 
"[3/6/18 1:52:24:894 UTC]"," 0000001d com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.  
 " 
"[3/6/18 1:52:25:603 UTC]"," 0000001d .management.client.service.internal.ManagedBeanContainerImpl I CWSCX0122I: Register management Bean provider: com.ibm.ws.cloudoe.management.client.provider.dump.JavaDumpBeanProvider@10f3b034. 
 " 
"[3/6/18 1:52:25:607 UTC]"," 0000001d .management.client.service.internal.ManagedBeanContainerImpl I CWSCX0122I: Register management Bean provider: com.ibm.ws.cloudoe.management.client.provider.logging.LibertyLoggingBeanProvider@557616fc. 
 " 
"[3/6/18 1:52:26:473 UTC]"," 00000027 com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   I CWWKS4103I: Creating the LTPA keys. This may take a few seconds. 
 " 
"[3/6/18 1:52:26:506 UTC]"," 0000001d ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated.  
 " 
"[3/6/18 1:52:27:148 UTC]"," 0000001d com.ibm.ws.security.wim.VMMService                           I CWIMK0009I: The user registry federation service is ready. 
 " 
"[3/6/18 1:52:27:308 UTC]"," 0000001d com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully. 
 " 
"[3/6/18 1:52:27:311 UTC]"," 0000001d com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used. 
 " 
"[3/6/18 1:52:27:313 UTC]"," 0000001d com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully. 
 " 
"[3/6/18 1:52:27:442 UTC]"," 00000027 com.ibm.ws.security.token.ltpa.internal.LTPAKeyInfoManager   A CWWKS4104A: LTPA keys created in 0.969 seconds. LTPA key file: /home/vcap/app/wlp/usr/servers/BatchProcessTriggerAppServer/resources/security/ltpa.keys 
 " 
"[3/6/18 1:52:27:447 UTC]"," 00000027 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0008I: The security service is ready. 
 " 
"[3/6/18 1:52:27:451 UTC]"," 00000027 com.ibm.ws.security.token.ltpa.internal.LTPAKeyCreateTask    I CWWKS4105I: LTPA configuration is ready after 0.978 seconds. 
 " 
"[3/6/18 1:52:27:871 UTC]"," 00000031 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application BatchProcessTriggerApp. 
 " 
"[3/6/18 1:52:28:230 UTC]"," 00000037 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: com.ibm.ws.cloudoe.management.client.liberty.connector. 
 " 
"[3/6/18 1:52:28:233 UTC]"," 00000037 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module com.ibm.ws.cloudoe.management.client.liberty.connector has been bound to default_host. 
 " 
"[3/6/18 1:52:28:235 UTC]"," 00000037 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://a7b761a4-83f6-438c-65db-3dc233101815:8080/IBMMGMTRest/ 
 " 
"[3/6/18 1:52:28:275 UTC]"," 00000037 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory. 
 " 
"[3/6/18 1:52:28:280 UTC]"," 00000037 com.ibm.ws.session.WASSessionCore                            I SESN0176I: A new session context will be created for application key default_host/IBMMGMTRest 
 " 
"[3/6/18 1:52:28:298 UTC]"," 00000037 com.ibm.ws.util                                              I SESN0172I: The session manager is using the Java default SecureRandom implementation for session ID generation. 
 " 
"[3/6/18 1:52:28:307 UTC]"," 00000031 org.jboss.weld.Version                                       I WELD-000900: 2.4.5 (Final) 
 " 
